,id,kw_location,time_location,created_date,period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,year,month
3637,3673,US,UK,2022-10-01 08:05:03,Morning,Hocus Pocus 2,Disney Plus,Dua Lipa,UCLA football,Mariners,Premier League,Warriors,Blake Griffin,Nick Cannon,Community movie,Entergalactic,Antonio Inoki,The Greatest Beer Run Ever,Cast of Dahmer \u2013 Monster: The Jeffrey Dahmer Story,Annexation,Burkina Faso,Tesla AI Day,Vikram Vedha,Tua Tagovailoa,Hurricane Ian death toll,2022,10
3638,3674,UK,UK,2022-10-01 08:05:03,Morning,Octopus,Arsenal vs Tottenham,Robbie Williams,Fantasy Premier League,David Tennant,Maya Jama,Man City vs Man United,Tom Cruise,Annexation,Sam Richardson,Everything Everywhere All at Once,Conor Benn,Hocus Pocus 2,Myra Hindley,Pakistan vs England,Steve Wright,EDF,Postal strike,Royal Mint,Hull City,2022,10
3640,3676,DE,UK,2022-10-01 08:05:03,Morning,Bayern gegen Leverkusen!,2. Bundesliga,1 Bundesliga,Lyman,Nato,Wolfgang Kubicki Erdogan,Richard David Precht,Ina Müller,Tua Tagovailoa,Ukraine Russland,SWR1 Hitparade,Corona-Regeln,Coolio,Bayern gegen Leverkusen,Porsche Aktie,Burger King,Rezession,Gasumlage,Annexion,Stadia,2022,10
3641,3677,FR,UK,2022-10-01 08:05:03,Morning,Porto \u2013 Braga,Trevor Noah,Alain Souchon,Burkina Faso,Alizée,Bundesliga,Imam Hassan Iquioussen,Hocus Pocus,Eva Longoria,Laurent Voulzy,Raison et sentiments,Paris-sg \u2013 Nice,Melha Bedia,Slawomir Krupa,Laurent Gerra,Les eternels,Neymar,Corentin Moutet,Michel Polnareff,Rennes,2022,10
3642,3678,NL,UK,2022-10-01 08:05:03,Morning,Red Bull Racing,Geraldine Kemper,Bijlmerramp,F1 Singapore,Eredivisie,MVV - Willem II,Lil Kleine,Annexatie,Premier League,Andy van der Meijde,PEC Zwolle,RTL Boulevard,NAC,CO2-meter,Inflatie,ADO Den Haag,Jinek,Den Bosch  Heracles,André Hazes,Van Houwelingen,2022,10
3643,3679,IT,UK,2022-10-01 08:05:03,Morning,Gilles Rocca,Alessandra Mussolini,Samira Lui,Valentina Persia,Giorgia melonì,Mario Bozzoli,Discorso Putin oggi,Maria de Filippi,Cecchi Paone,Ultimo,Juventus-Bologna,MotoGP orari,Ottobre,Nube di metano,Burkina Faso,Giro dell'Emilia 2022,La Liga,Codeina,Serie B,Bayern Monaco  Leverkusen,2022,10
3644,3680,AUS,UK,2022-10-01 08:05:03,Morning,Pakistan vs England,Garang Kuol,Community movie,Bella Hadid,Arsenal vs Tottenham,Collingwood,Entergalactic,Bernard Tomic,Australia Cup,Bruce Willis,International Coffee Day,Vesper,Cars,Lakers,NATO,When is Tesla AI Day 2022,Dominic Roco,Singapore GP,Burkina Faso,Man City vs Man United,2022,10
3646,3682,US,UK,2022-10-01 18:58:03,Evening,Liverpool vs Brighton,Crystal Palace vs Chelsea,FAFSA,Kentucky football,Arsenal,Antonio Brown,Barcelona,Dish Network,Bundesliga,Hocus Pocus 2,Premier League,Disney Plus,Bette Midler,Dua Lipa,UCLA football,Myrtle Beach,Mariners,Warriors,Blake Griffin,Nick Cannon,2022,10
3647,3683,UK,UK,2022-10-01 18:58:03,Evening,Arsenal vs Tottenham,Crystal Palace vs Chelsea,Fulham vs Newcastle,Arsenal,Southampton vs Everton,Hearts vs Rangers,Celtic,F1,West Ham vs Wolves,Man City vs Man United,London Marathon 2022,Sheffield United,Sunderland vs Preston,Maya Jama,Bournemouth vs Brentford,Blackpool vs Norwich City,Fantasy Premier League,Robbie Williams,Celtic FC,Lyman,2022,10
3649,3685,DE,UK,2022-10-01 18:58:03,Evening,RB Leipzig gegen Bochum,BVB,RB Leipzig,VfB Stuttgart,Union Berlin,Hansa Rostock,FC Köln,Katrin Lang Weinkönigin,SC Freiburg,Bella Hadid,Liverpool,Roboter Elon Musk,Burkina Faso,Max Raabe,VfL Osnabrück,Bundesliga,Köln gegen Dortmund,2. Bundesliga,Formel 1,Premier League,2022,10
3650,3686,FR,UK,2022-10-01 18:58:03,Evening,Ligue 2,Strasbourg \u2013 Rennes,Liverpool \u2013 Brighton,F1,Chelsea,Octobre Rose,Bella Hadid,Marseille,Octobre Rose 2022,Fulham \u2013 Newcastle,Julien Bayou,Manchester United,Ticket to Paradise,Jazz,Barca,Foot Ligue 1,Finlande,Ligue 1,Arsenal \u2013 Tottenham,Alain Souchon,2022,10
3651,3687,NL,UK,2022-10-01 18:58:03,Evening,Cambuur PSV,F1,Ajax,Arsenal  Tottenham,Liverpool,Groningen - AZ,Ajax -  ga Eagles,Nicaragua,AZ,Geraldine Kemper,Red Bull Racing,Stoptober,Grand Prix radio,Lale gul,Bayern,Psg,F1 Singapore,Eredivisie,Viaplay,Lyman,2022,10
3652,3688,IT,UK,2022-10-01 18:58:03,Evening,Serie A,Premier League,Bari-Brescia,Cagliari-Venezia,Antonio Inoki,Spal  Genoa,Palermo  Südtirol,DAZN,Gilles Rocca,Parma-Frosinone,Chelsea,Anthony Delon,Modena-Reggina,Perugia-Pisa,Alessandro Nasi,Samira Lui,Juventus-Bologna,Atalanta,Cassano,Valentina Persia,2022,10
3653,3689,AUS,UK,2022-10-01 18:58:03,Evening,Crystal Palace vs Chelsea,Fulham vs Newcastle,Southampton vs Everton,Lyman,Bournemouth vs Brentford,West Ham vs Wolves,Arsenal vs Tottenham,Liverpool vs Brighton,Premier League,Australia Cup,AFLW,WAFL Grand Final,F1 QUALIFYING,Lauren Jackson,Bella Hadid,Community movie,Garang Kuol,Rugby League Grand Final,Bernard Tomic,Serie A,2022,10
3655,3691,US,UK,2022-10-02 08:05:03,Morning,Georgia football,Arsenal vs Tottenham,Oklahoma football,Antonio Brown,Liverpool vs Brighton,Crystal Palace vs Chelsea,Bryce Young,PSG,Jimmy Carter,Illinois football,Alabama vs Arkansas,Minnesota Football,Syracuse football,Saturday Night Live,Manchester United,Halloween movies,Oklahoma State football,WVU football,Gabby Petito,LSU vs Auburn,2022,10
3656,3692,UK,UK,2022-10-02 08:05:03,Morning,AC Milan,Steph McGovern,The 1975,Arsenal vs Tottenham,Crystal Palace vs Chelsea,Arsenal vs Tottenham lineups,Fulham vs Newcastle,West Ham vs Wolves,F1,Southampton vs Everton,London Marathon 2022,Celtic,Hearts vs Rangers,Man City vs Man United,PSG vs Nice,Mallorca vs Barcelona,Thomas Cashman,Robbie Williams,Inter vs Roma,Sheffield United,2022,10
3658,3694,DE,UK,2022-10-02 08:05:03,Morning,Katja Burkard,Helene Fischer,FC Köln,The Masked Singer,Eintracht Frankfurt,Formel 1,BVB,RB Leipzig,VfB Stuttgart,St.Pauli gegen Heidenheim,Matthias Reim,Bella Hadid,F1,SC Freiburg,PSG,Wilsberg,Arsenal,Burkina Faso,Lucas Krzikalla,Elon Musk Roboter,2022,10
3659,3695,FR,UK,2022-10-02 08:05:03,Morning,Barcelone,MotoGP thailande,Stade Rochelais,Ligue 2,Strasbourg \u2013 Rennes,Liverpool \u2013 Brighton,F1,Séville \u2013 Atlético Madrid,Bella Hadid,Empoli \u2013 Milan,Octobre rose,Valenciennes \u2013 Sochaux,Jacques-Brel,Manchester United,Real Madrid,Octobre rose 2022,Marseille,Julien Bayou,Rodez \u2013 Amiens,Nîmes \u2013 Paris FC,2022,10
