id,metadata,good result
1,"I can never win 😭 Make sure to train up and come to improve your Figma and Design skills at the MAC Designathon THIS SATURDAY 🔥🤩 🗓️Date: Saturday 23rd - Sunday 24th March 🧑‍💻Hackathon ⏳Duration: 29 hours 🏆Prizes: $200, $100 and $50 Beginner Figma Workshop ⏰Time: Saturday, 3-4pm 📍Location: LTB 3.35 Opening Ceremony ⏰Time: Saturday, 4pm 📍Location: LTB 3.35 #design #coding #explore #uni #hackathon",0
2,rating #hackathon tips for today! tell us which is yr favourite #startupweekend #winner #winnerwinnermoment (6 ways to win hackathons),1
3,"think about these things as you are working hard, hackers! #hackathon #howtowin #hackai #winninghack #howtowinahackathon",1
4,Win your first hackathon! (We didn’t win but here are the learnings I got from my first onsite hackathon) #computerscience #hackathontips #hackathon #programming #programmer #admu #ateneocomputerscience,1
5,how to pitch in a hackathon?!!!!? WE GOTCHA 💵 #winnerwinnerchickendinner #hackathon #startupweekend #win #watchme,0.5
6,Replying to @clit3rus my explanation of a hackathon #swe #softwareengineer #cscareers #softwareengineerlife #softwaredeveloper #coding #programming #hackathons #hackathon,0
7,I remember being in high school and wanting to get involved with hackathons but feeling so lost and confused with the lack of resources and explanation- I hope this video inspires you to learn more about Hackathons and even participate in one yourself ❤️ #hackathon #techtok #tech #greenscreen,0
8,our advice on succeeding at hackathons! nwHacks applications are out now ⭐️ https://www.nwhacks.io/ #hackathon #tech #coding #uxdesign,1
9,"😋 Because winning might not be easy, but it can be leas hard… #hackathon #hacksandtips #hackathon2024 #acceleratorprogram #startupscaling #startups #smallbusinesstiktok",0.5
10,"Replying to @import_javagal Hey, here are some tips to finding hackathon scholarship. Hopefully this is helpful & I agree you should definitely check out ETH Denver & their travel scholarships. Hope I can catch ya some day at one of these hackathons. Best of luck on your computer science journey! 🍀🚀✨ . . . . . . . . . . . . . . . . . #techtok #hackathon #coding #softwareengineer #computerscience",0
11,how to prepare for YR NEXT HACKATHON🤪😎 #hackathon #startupweekend #startup,1
12,Craft Ventures HACKAITHON event 2023 #venturecapital #ai #openai #chatgpt4 #aihackathon #founders #startups #softwareengineering #nocodetools #techtok #seedstage #preseed #aibuilder #aitools #fundraising #sftech,0
13,"#Pitching at a #Hackathon: #Pitch your idea in three stages. #StartWithWhy. Then explain your #ValueProposition, and finally, what does your solution do?",1
14,how a hackathon prize turned into an all-expenses paid trip to Sunriver Resort in Oregon 😍 #stanford #hackathon #coding #startups,0
15,hackathons #coding #programming #tech #learntocode #hackathons #fypシ #foryou #techtok #computerscience #csmajor #compsci #python (participating in a hackathon? here are 3 tips!),1
16,"Ever joined a Formula 1 hackathon? I got invited to the AWS Summit ASEAN to catch the very first Singapore round for AWS GameDay: F1 League! Techies had to be the first to use AWS to complete a realtime stats dashboard using REAL F1 data. Tons of cool things also happened, like me joining a press briefing with former Formula 1 engineer and now F1 Technical Consultant Rob Smedley! #AWSSummitASEAN #AWSGameDayF1 #AWS #LearningIsFun #Ad",0
17,More videos coming soon 🙏 but it was so fun to get to talk with people building #ai tools and make some new friends. Plus weve got something coming down the line for The AI Exchange! 🤖 #rachelwoods #generativeai #hackathon #aihackathon #engineering #tech #startups #aitools #gpt,0
18,Replying to @jovy The award winning demo😸😃 #hackathon #hacks #techtok #code #programming #software #svelte #cs #fyp,0
19,We hosted London’s first Large Language Models Hackathon. Here’s what some participants built 🚀 #hackathon #llm #ai #techtok #computervision,0
20,#greenscreen i havent competed in a hackathon in over a year and a half and im itching to do if again. Anyone want to join my team? Its free typically to join and you can win tons of money. #womeninstem #hackathon #cryptok #crypto,0
21,Reply to @gtstemcomm Tips and Tricks for competing in your first hackathon! #georgiatech #computerscience #csmajor #womeninstem #womaninstem #hackathon2021 #hackathon #minoritiesinstem #techtok #minoritiesintech,1
22,congrats to the winner of HackAI's 2023 Athletes track 🏆 court vision 🏀🗑👀 Amazing job guys! 👏👏 #hackai #hackathon #aisutd #utdais #hackaiwinner #hackathonwinner,0
23,Replying to @pewpewpew It was nothing grand + were also so hopeless n insecure cz it wad to simple. Competing against working adults & startups was so scary 🥲. And the problem statement was just my personal problem. #hackathon #usm #ums #startup #coding,0
24,#CapCut #codinglife #girlswhocode #hackathons,0
25,Hackathons are a must try opportunity in college!! #fyp #foryou #bsit #coding #programming #hackathon,0
26,joining hackathons was how i ventured my way into ux design 🥹 a few resource to find hackathons: @nwPlus & mlh hacks & hacker earth design specific hackathons: eunoia.ux & flui_hackathon & adobe creative jam #uxdesign #hackathon #techtok #uxui #designhackathon,0
27,Do hackathons! #csmajor #compsci #computerscience #college #coding #programming #edutok #learnontiktok #python #datascience #java #data,0
28,Hackathon community 💪🔥😮‍💨 #junction #junction2023 #hacktheuncertainty #hackathon #hackathons #hack #coding #developerlife #startup #entrepreneurship #entrepreneur #hackathon2023 #hackathoneurope #helsinki #finland #helsinkievents #softwaredeveloperlife #softwaredeveloperjob #softwareengineer #uxdesign #uidesign #projectmanager #programminghumor #programming #developer #programmingmemes #humour,0
29,Sharing my first ever Hackathon last October 2022. I can say that this was the best part of my 2022. Sorry for the late uploads. #coding #hackathon #pnpitms #pnp #it #webdev #programming,0
30,"The ""real"" side of hackathons 😴😄 #CraftHub #WhereTechEventsBegin #hacktock #techtok #techtokers #foryou #hackathon #techconference #it #techevents #codetok #codinglife",0
31,Replying to @Tik Toker How to prepare for capture the flag contests? #capturetheflag #ctf #contests #capturetheflag #capturetheflaghackathon #hackathoncapturetheflag #capturetheflags,1
32,Join us in our 36-hour hackathon journey 💡 #hackathon #university #collegelife #daihoccogivui,0
