ID,Text,Voice?
1, with opinions from the future relaxing music music music music music music,0
2," On the bottom, page. You were good. I'm waiting for you to be great. And next, Kendall. You didn't stick out to me. Next is Brooke. Next, Nia. You're third on the pyramid. You were third overall high score. And Mackenzie. And on top of the pyramid, going three for three, once again, is Maddie.",0
3," I'm not sure I'm preparing this development or remind me of a processing telepathy. My name is James Robinson, I'm a recruiter with Geico. I'm looking at telepathy looking for out-of-the-wing interactions. Just thinking of being innovative, looking at things from a different perspective, original ideas, you know, some of the most exciting innovations really come from things that are actually rather simple plots that nobody really, from whatever reason, just never really occurred. Ah, creativity and enthusiasm. So whatever it is that they create, I want them to really own it, know what it is, be able to explain it, sell it well. You know, I want it to be something practical, you know, something you can really use and something that we can see, not just being discussed, but something really beautiful. Oh, okay, I like that. Thank you. Appreciate it. Thank you so much. Thank you so much. You bet. Thank you. You bet. You bet. Okay, all right.",1
4," Hey. Oh, come cause to ride be sick! Oh yeah, otherwise島 could be all the way for you. Come that way. LA.",0
5," Wanna win a hackathon? This one's for you! Today I'm teaching you how to pitch. Also I have a pimple, but if I can do it, so can you. First things first, don't ramble! Hi, I'm from California. My name is blah blah blah. Just don't cut out all of those. Next thing you gotta do is be clear and confident, because no one is gonna trust you except you. And if you don't know where to start, here's a template that you can use for the next elevator pitch. Go get that brat!",1
6," So what exactly are hackathons? It's pretty much a social coding event that are hosted by organizations companies or even schools to bring programmers and other people who are interested in solving business problems together. The organizers of these events would provide themes for example healthcare and then you and other people with form teams together to collaborate some sort of software or program that would relate to the healthcare theme or even solve some problems within healthcare. And sometimes hackathons could be one day events. It could be spanning to three days where people are just coding 24-7, being hyped up on Red Bull and other energy drinks. At the end of it all you get to submit and present your ideas for a competition and earn prize money.",1
7," So I want a hackathon that led to an all expenses paid startup accelerator retreat. And today I want to talk about what a hackathon is, my experience with them and how to get involved. So a hackathon is just a space where people come together to build things with code. Usually it's over a weekend or over a couple of days and sometimes there are themes to the hackathon. For example, these could be like sustainability, they could be social good, and they can also be different tech things like AI, Web3, crypto, or anything like that. During a hackathon you usually work together with a team or by yourself to build an end result with code. And that could be something like an app, a website, a game, or anything that you can think of. During a hackathon though, there's much more than just coding. There's also usually workshops, so places where you can learn new skills. There's also games and events where you can meet the other people in the hackathon. And sometimes there are guest speakers that you can listen from and learn from. These speakers are usually industry professionals, mentors, or just other people who are interested in passionate about computer science. One misconception is that you have to know how to code to participate in a hackathon, but that's not true. In hackathons there are space for designers, project leaders, writers, anyone with a creative side. There are hackathons for people of all ages, including elementary, middle school, high school, college, and even beyond. The purpose of a hackathon is to learn new skills, meet people, and to build a project which can either be just for fun or if to put on your portfolio or resume. I did my first hackathon online last year through people from the code of classity community and we built an AR app that allows you to try on different manicure designs. One of the best ways to learn about upcoming hackathons is through major league hacking, which is a community and platform that post new hackathons all the time. Here is their website which you can find the 2024 hackathon season and a bunch of hackathon events coming up. If you're a university student, chances are your university or one near you will also host a hackathon. Hackathons can also be great ways to travel and go to other schools as many of them like Stanford's TreeHacks will fly you out to participate. Hackathon prices are usually really insane with a lot of them offering cash prices and other cool things like AirPods Pros. For example, at TreeHacks, which is Stanford's hackathon last year, they were giving out prices like $500 door dash gift cards and $250 dollar spa gift cards. Another great resource for teen hackers is hack club. They have a really powerful community and they also fly people out for hackathons. For example, this year they did a camping themed hackathon that was held in Vermont. I've really enjoyed the creative process of building cool projects with my friends at hackathons and I think they're a great way to meet new people and practice your skills. And make sure to follow my account for more college tech and lifestyle insights. Thanks for watching.",1
8, Shows on to you working upon this song I'm ready for their songs All day and day and day and day and day and day and day and day,0
9," Okay, so what are the benefits of chasing funding for your startup through accelerated programs and hackathons? Well, on the plus side, you might win the money, but there are also lots of other benefits around that. So, it's a great way to get your brand out there. It's a great way to get recognition. It's also a really good way to network in the wider ecosystem. So, if you're crypto startup, going to crypto, hackathons, going to crypto accelerator programs, it's a great way to meet really good people and find mentors. If you're also after a co-founder, that's the kind of place where you might just bump into them. Secondly, I'd also recommend you go to these things because it's fantastic practice. It's a pitch, pitch, pitch, pitch. Whether that's in the elevator on the way up, whether that's as part of the competition, you need to pitch, you need to pivot, and then you need to get back after the hackathon and then keep powering up. So, check them out. Happy hustling, like and follow for more.",1
10," Here, I'll share a few tips for finding hackathons that offer travel scholarships. Hackathons are an amazing opportunity for tech developers and tech enthusiasts to showcase their skills, learn new technologies and network with others. But for some like me, the cost of travel and accommodation can be a barrier to participating in these events. That's where travel scholarships come in. Many hackathons offer travel scholarships to participants to help cover the cost of their travel and accommodation. Here are some tips on how to find these hackathons and where to learn more about them. Tip number one, start your search early. The earlier you start your search, the better chance you have of finding a hackathon with a travel scholarship. Many hackathons have a limited number of travel scholarships available, so make sure to apply as soon as possible. Tip number two, check the hackathons website. Most hackathons have their information, including travel scholarships and details about them listed on their website. Check the website for more details on the travel scholarship and the application process. Tip number three, follow hackathon communities on social media. You can find and follow some of these communities on platforms like Twitter, LinkedIn, and Facebook to stay updated on some of their new hackathons and any opportunities like scholarship available. Tip number four is use search engines. You can use Google and even Twitter to find hackathons that offer travel scholarships. You can search terms like hackathon travel scholarship or travel scholarship hackathon 2023. That should give you a good starting point. And if there's a particular hackathon you want to attend, for example, like an eighth global hackathon, you can search for eighth global hackathon scholarships. So what are some of these popular hackathons that offer travel scholarship? Here are a few of my favorites that you should consider. There is majorly hacking Facebook's hackathons, Google Summer of Code, Microsoft's Imagine Cup, eighth global hackathons, get coin grants, and Web 3 Summit. There's a bunch of others too. You should take a look at it. To learn more about these and other hackathons that offer travel scholarships, make sure to check their website, social media accounts, and utilize search engines. You can even ask AI-like chat to be tea to provide you the links and do some of the searching for you. That's all for today. I hope these tips will help you find the perfect hackathon with a travel scholarship. Don't forget to like for more videos on the ladies in tech.",1
